sensor,totalPLV,min,max,avg,start,end
HUM,133.99,38.8,100.0,88.50574300071763,2018-02-18T01:00:00.000+01:00,2018-03-20T01:00:00.000+01:00
HUM,62.9,19.0,100.0,71.216325551647,2018-03-20T01:00:00.000+01:00,2018-04-19T02:00:00.000+02:00
HUM,75.77,13.4,100.0,67.89085072231143,2018-04-19T02:00:00.000+02:00,2018-05-19T02:00:00.000+02:00
HUM,14.82,15.1,100.0,59.6420338228749,2018-05-19T02:00:00.000+02:00,2018-06-18T02:00:00.000+02:00
HUM,25.44,1.8,100.0,48.95263503889566,2018-06-18T02:00:00.000+02:00,2018-07-18T02:00:00.000+02:00
HUM,34.66,1.9,100.0,49.62466187658498,2018-07-18T02:00:00.000+02:00,2018-08-17T02:00:00.000+02:00
HUM,34.66,9.1,100.0,62.67032117033797,2018-08-17T02:00:00.000+02:00,2018-09-16T02:00:00.000+02:00
HUM,57.05,1.5,100.0,67.7077438570365,2018-09-16T02:00:00.000+02:00,2018-10-16T02:00:00.000+02:00
HUM,107.91,24.0,100.0,82.380538197944,2018-10-16T02:00:00.000+02:00,2018-11-15T01:00:00.000+01:00
HUM,27.97,30.1,100.0,80.78464039008524,2018-11-15T01:00:00.000+01:00,2018-12-15T01:00:00.000+01:00
HUM,11.48,26.2,100.0,81.89352021125345,2018-12-15T01:00:00.000+01:00,2019-01-14T01:00:00.000+01:00
HUM,68.26,26.2,100.0,89.18509997849897,2019-01-14T01:00:00.000+01:00,2019-02-13T01:00:00.000+01:00
HUM,3.92,11.3,100.0,74.64852607709749,2019-02-13T01:00:00.000+01:00,2019-03-15T01:00:00.000+01:00
HUM,0.0,39.2,100.0,89.15079505300356,2019-03-15T01:00:00.000+01:00,2019-04-14T02:00:00.000+02:00
