sensor;min;max;avg;start;end
LUX;0;19586;2275.496784336144;2018-02-18T01:00:00.000+01:00;2018-03-20T01:00:00.000+01:00
LUX;0;19270;2488.4418864908075;2018-03-20T01:00:00.000+01:00;2018-04-19T02:00:00.000+02:00
LUX;0;20579;2915.74565376187;2018-04-19T02:00:00.000+02:00;2018-05-19T02:00:00.000+02:00
LUX;0;21310;3016.4248554913293;2018-05-19T02:00:00.000+02:00;2018-06-18T02:00:00.000+02:00
LUX;0;15614;4337.5885663834015;2018-06-18T02:00:00.000+02:00;2018-07-18T02:00:00.000+02:00
LUX;0;15371;4330.530009526834;2018-07-18T02:00:00.000+02:00;2018-08-17T02:00:00.000+02:00
LUX;0;14560;3729.0284943517113;2018-08-17T02:00:00.000+02:00;2018-09-16T02:00:00.000+02:00
LUX;0;13738;2349.4779073499517;2018-09-16T02:00:00.000+02:00;2018-10-16T02:00:00.000+02:00
LUX;0;11217;1485.3107236444266;2018-10-16T02:00:00.000+02:00;2018-11-15T01:00:00.000+01:00
LUX;0;7702;980.354149548069;2018-11-15T01:00:00.000+01:00;2018-12-15T01:00:00.000+01:00
LUX;0;7838;1088.9263522461038;2018-12-15T01:00:00.000+01:00;2019-01-14T01:00:00.000+01:00
LUX;0;8819;1001.7236202613673;2019-01-14T01:00:00.000+01:00;2019-02-13T01:00:00.000+01:00
LUX;0;9117;1263.9298690889661;2019-02-13T01:00:00.000+01:00;2019-03-15T01:00:00.000+01:00
LUX;0;8532;1230.220848056537;2019-03-15T01:00:00.000+01:00;2019-04-14T02:00:00.000+02:00
