sensor;total;start;end
PLV1;133.99;2018-02-18T01:00:00.000+01:00;2018-03-20T01:00:00.000+01:00
PLV1;62.919999999999995;2018-03-20T01:00:00.000+01:00;2018-04-19T02:00:00.000+02:00
PLV1;75.77000000000001;2018-04-19T02:00:00.000+02:00;2018-05-19T02:00:00.000+02:00
PLV1;14.82;2018-05-19T02:00:00.000+02:00;2018-06-18T02:00:00.000+02:00
PLV1;25.44;2018-06-18T02:00:00.000+02:00;2018-07-18T02:00:00.000+02:00
PLV1;34.66;2018-07-18T02:00:00.000+02:00;2018-08-17T02:00:00.000+02:00
PLV1;34.660000000000004;2018-08-17T02:00:00.000+02:00;2018-09-16T02:00:00.000+02:00
PLV1;57.050000000000004;2018-09-16T02:00:00.000+02:00;2018-10-16T02:00:00.000+02:00
PLV1;107.91999999999999;2018-10-16T02:00:00.000+02:00;2018-11-15T01:00:00.000+01:00
PLV1;27.97;2018-11-15T01:00:00.000+01:00;2018-12-15T01:00:00.000+01:00
PLV1;11.48;2018-12-15T01:00:00.000+01:00;2019-01-14T01:00:00.000+01:00
PLV1;68.26;2019-01-14T01:00:00.000+01:00;2019-02-13T01:00:00.000+01:00
PLV1;3.92;2019-02-13T01:00:00.000+01:00;2019-03-15T01:00:00.000+01:00
PLV1;0.0;2019-03-15T01:00:00.000+01:00;2019-04-14T02:00:00.000+02:00
